Year,State,<1,1-4,5-9,10-14,15-19,20-24,25-44,45-49,50-59,60-64,65+,Total
2005,Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,0.61,3.77,11.35,0.0,0.0,1.58
2005,Veracruz,0.0,0.0,0.0,0.0,0.54,2.32,6.89,15.81,35.13,45.24,33.14,13.21
2005,Yucatán,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.64,0.0,5.2,1.08
2005,Zacatecas,0.0,0.0,0.0,0.0,0.0,0.0,9.52,26.6,14.18,10.59,12.31,8.92
2005,TOTAL GLOBAL,0.0,0.0,0.02,0.2,0.62,1.56,8.85,28.31,32.82,33.82,27.5,13.53
2006,Aguascalientes,0.0,0.0,0.0,0.0,0.0,1.96,8.54,32.26,34.12,24.22,82.2,16.73
2006,Baja California,0.0,0.0,0.0,0.67,1.4,10.01,14.34,19.97,37.97,37.72,49.84,17.69
2006,Baja California Sur,0.0,0.0,0.0,0.0,0.0,0.0,7.1,64.35,55.68,18.03,17.58,15.54
2006,Campeche,0.0,0.0,0.0,0.0,0.0,2.63,13.49,15.11,40.64,45.72,21.23,14.38
2006,Coahuila,0.0,1.11,0.0,0.0,0.0,0.0,9.85,34.14,34.59,26.64,28.45,14.1
2006,Colima,0.0,0.0,0.0,0.0,0.0,3.46,5.36,35.16,17.09,26.0,23.06,10.11
2006,Chiapas,0.0,0.0,0.0,0.0,0.8,1.33,6.63,22.1,17.02,27.17,19.7,8.3
2006,Chihuahua,0.0,0.0,0.0,0.0,3.0,7.13,25.0,67.78,66.54,101.28,63.61,33.5
2006,Distrito Federal,0.0,0.0,0.0,0.0,0.79,2.83,12.52,50.98,60.08,73.7,50.5,25.91
2006,Durango,0.0,0.0,0.0,0.0,0.0,1.33,10.46,10.06,17.59,34.03,4.09,8.7
2006,Guanajuato,0.0,0.0,0.0,0.0,0.0,0.4,6.12,14.18,23.01,27.73,16.84,8.24
2006,Guerrero,0.0,0.0,0.0,0.0,0.56,0.0,3.93,17.9,13.13,16.81,8.81,5.7
2006,Hidalgo,0.0,0.0,0.0,0.0,1.59,0.88,0.84,9.08,5.34,9.27,3.92,2.65
2006,Jalisco,0.0,0.41,0.0,0.28,0.87,3.66,14.05,66.76,67.2,86.83,61.75,27.9
2006,México,0.0,0.0,0.0,0.0,0.0,1.28,3.04,10.58,10.84,13.15,10.4,4.62
2006,Michoacán,0.0,0.0,0.0,0.0,0.0,1.41,10.59,42.51,40.0,46.34,30.61,16.11
2006,Morelos,0.0,0.0,0.0,2.26,2.34,4.95,6.78,8.09,17.31,29.84,17.68,9.36
2006,Nayarit,0.0,0.0,0.0,0.0,0.0,2.1,11.02,34.59,41.46,7.25,23.91,14.37
2006,Nuevo León,0.0,0.0,0.51,0.51,1.59,3.17,21.2,86.51,71.81,79.91,57.73,33.2
2006,Oaxaca,0.0,0.0,0.0,0.0,0.49,0.53,6.5,24.92,16.51,15.4,9.18,7.67
2006,Puebla,0.0,0.0,0.0,0.0,0.34,1.46,10.37,54.31,32.93,39.25,39.69,17.03
2006,Querétaro,0.0,0.0,0.0,0.0,0.0,0.0,11.3,45.72,34.83,91.6,65.8,18.9
2006,Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.0,7.44,18.98,16.25,11.56,13.36,7.11
2006,San Luis Potosí,0.0,0.0,0.0,0.0,1.56,2.64,39.08,82.87,102.24,81.47,71.99,43.32
2006,Sinaloa,0.0,0.0,0.0,0.0,1.45,2.29,16.08,25.52,36.71,54.91,40.82,18.61
2006,Sonora,0.0,0.0,0.0,0.0,0.0,0.9,10.18,34.45,23.95,28.14,46.54,14.61
2006,Tabasco,0.0,0.0,0.0,0.0,0.0,0.95,2.46,11.23,7.13,13.48,6.31,3.54
2006,Tamaulipas,0.0,0.0,2.03,0.0,1.37,4.85,12.5,46.34,59.62,76.74,60.1,23.95
2006,Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,10.76,8.02,6.34,2.83
2006,Veracruz,0.0,0.0,0.0,0.52,0.82,1.74,9.59,19.21,25.7,14.64,28.35,12.02
2006,Yucatán,0.0,0.0,0.0,0.0,0.0,0.0,10.88,20.79,39.43,42.74,47.11,16.31
2006,Zacatecas,0.0,0.0,0.0,0.0,1.35,1.46,6.6,25.78,11.77,5.2,2.0,6.48
2006,TOTAL GLOBAL,0.0,0.05,0.08,0.13,0.65,2.1,10.3,34.39,35.88,42.27,34.05,15.64
2007,Aguascalientes,0.0,0.0,0.0,6.68,3.54,0.0,12.84,61.53,60.8,54.64,53.72,23.65
2007,Baja California,0.0,0.0,0.0,0.72,1.49,2.25,10.08,40.39,40.17,33.47,23.21,14.91
2007,Baja California Sur,0.0,0.0,0.0,0.0,0.0,0.0,4.65,21.0,27.09,17.67,53.78,10.39
2007,Campeche,0.0,0.0,0.0,0.0,0.0,0.0,4.11,14.82,7.15,54.73,10.52,6.16
2007,Coahuila,0.0,0.0,0.0,0.0,0.84,5.4,13.93,44.77,49.27,61.72,41.17,21.49
2007,Colima,0.0,0.0,0.0,0.0,0.0,0.0,16.33,35.84,94.63,77.61,46.1,26.88
2007,Chiapas,0.0,0.0,0.0,0.38,0.4,1.35,3.71,17.13,14.63,8.33,16.1,5.71
2007,Chihuahua,0.0,0.0,0.0,0.0,1.31,0.71,18.87,55.92,49.65,67.92,45.37,24.64
2007,Distrito Federal,0.0,0.0,0.0,0.0,0.27,1.29,22.58,69.01,91.09,117.79,72.14,39.94
